TRINITY_DN13796_c0_g1_i4	0	0.803381	0.089142	0	0.684934	1.187106
TRINITY_DN13796_c0_g1_i5	0.364307	2.352382	0	0.391825	1.563134	4.825578
TRINITY_DN1457_c0_g2_i1	1.228676	2.373415	0.155328	0.513531	0.296633	0.247885
TRINITY_DN1457_c0_g2_i2	0	0	1.788217	3.624117	3.062704	2.02452
TRINITY_DN14631_c0_g1_i1	0.355301	26.795746	7.284161	0.263738	1.049816	0
TRINITY_DN147_c0_g1_i11	0.742176	3.124454	0.918754	6.907202	2.862524	2.956475
TRINITY_DN147_c0_g1_i12	0	0	0	0.076638	0	0
TRINITY_DN147_c0_g1_i3	0.029093	0.867801	0	0.395933	0.822936	0
TRINITY_DN147_c0_g1_i4	0.495837	1.961112	0.023131	4.612956	2.486613	0
TRINITY_DN147_c0_g1_i5	0.091161	0.128496	0.101401	1.058381	0.278014	0
TRINITY_DN147_c0_g1_i7	0.966145	3.999497	5.570686	11.975065	5.922998	5.529585
TRINITY_DN147_c0_g1_i9	0.488942	0.950728	1.410163	2.062715	1.596778	0.961296
TRINITY_DN15068_c0_g1_i1	0.492827	1.521365	0.318072	0.507687	1.88841	1.056705
TRINITY_DN15068_c0_g1_i2	0.055615	0	0.141954	0.256575	0.12273	0.061367
TRINITY_DN159_c0_g1_i10	2.312687	4.61993	3.694406	2.701464	2.402528	3.337729
TRINITY_DN159_c0_g1_i11	15.437247	15.609368	3.142442	19.327203	19.186761	29.366771
TRINITY_DN159_c0_g1_i12	45.4593	67.412106	89.879072	43.031127	54.994403	67.586524
TRINITY_DN159_c0_g1_i13	16.007497	49.318523	68.420242	0	0	0
TRINITY_DN159_c0_g1_i14	0.761783	2.088882	1.954749	0.304912	0.491298	0.616651
TRINITY_DN159_c0_g1_i16	13.571449	0	33.0573	36.04087	56.190311	76.93967
TRINITY_DN159_c0_g1_i18	32.082358	52.118324	32.964176	27.631634	25.248879	24.813362
TRINITY_DN159_c0_g1_i19	0.023131	0.099477	1.238483	10.069955	13.205219	0
TRINITY_DN159_c0_g1_i2	0	8.709378	20.674654	0	0	0
TRINITY_DN159_c0_g1_i3	24.172873	34.95967	35.639521	10.824053	17.931774	0
TRINITY_DN159_c0_g1_i5	17.743973	20.074819	8.395564	9.485356	8.251716	7.943102
TRINITY_DN159_c1_g1_i1	106.362664	191.393355	264.676018	126.26685	161.644605	180.928707
TRINITY_DN1632_c1_g1_i1	17.044481	33.527145	30.672427	36.244282	28.429051	48.118258
TRINITY_DN1632_c1_g2_i1	0	3.990447	0	8.548632	6.613628	2.49353
TRINITY_DN1632_c1_g2_i3	3.090205	4.01992	2.485156	0	0	5.933006
TRINITY_DN1632_c1_g2_i4	0.077826	0.336859	2.822002	3.231637	1.323087	2.498379
TRINITY_DN1632_c1_g2_i5	6.799358	21.784772	9.305761	7.247203	4.978657	10.585556
TRINITY_DN1632_c1_g2_i6	5.74288	10.973351	0.979718	8.852784	5.828658	10.071376
TRINITY_DN1632_c1_g2_i8	1.564404	2.026982	4.886046	3.31501	1.154472	2.833158
TRINITY_DN169_c0_g1_i3	5.856212	37.624351	47.761742	9.212491	5.488819	20.016071
TRINITY_DN169_c0_g1_i4	13.041306	74.419071	92.031248	57.104356	43.568959	38.322136
TRINITY_DN1691_c0_g4_i1	0	0.063685	0.008751	0	0.246544	0.348366
TRINITY_DN1691_c0_g4_i2	0	2.866622	0	0	1.902866	3.021811
TRINITY_DN17545_c0_g1_i1	0.072285	0.050275	0.021077	0.098559	0.117014	0
TRINITY_DN17545_c0_g1_i2	0	0	0	0	0	0.071652
TRINITY_DN1767_c0_g1_i1	0	0.729177	0	0.633421	0.905875	0
TRINITY_DN1767_c0_g1_i2	1.082845	2.370886	2.040284	3.451343	2.969652	1.277543
TRINITY_DN1767_c0_g1_i3	0.335845	0.879647	0.469959	1.123248	0.445108	0.472603
TRINITY_DN180_c0_g1_i1	0.983864	3.73843	5.837023	0.848176	0.240399	2.430249
TRINITY_DN180_c0_g1_i2	21.783281	57.573977	11.964743	28.654746	18.848542	4.61291
TRINITY_DN180_c0_g1_i3	0.939453	1.220362	1.807963	4.069446	2.248273	1.384079
TRINITY_DN180_c0_g1_i4	0	0.806918	0.866108	0	0	0
TRINITY_DN180_c0_g2_i1	104.813762	247.093086	195.446905	149.394386	139.303623	158.590461
