	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Mul_mean
TRINITY_DN1263_c0_g1	0.279298	0.926927	0.401238	1.703693	0.925854	2.414051	0.535821	1.6812
TRINITY_DN37811_c0_g1	0.013007	0.031756	0.000000	0.192115	0.329199	0.000000	0.014921	0.173771
TRINITY_DN1840_c0_g2	22.099791	44.318729	77.201097	17.839026	31.015323	17.094121	47.8732	21.9828
TRINITY_DN257_c3_g1	7.901406	6.674656	5.166559	8.411682	7.713006	5.682535	6.58087	7.26907
TRINITY_DN4387_c0_g2	0.235259	0.164261	0.148630	0.118389	0.078441	0.052655	0.182717	0.0831617
TRINITY_DN762_c0_g1	4.792971	14.345287	8.333508	18.003940	15.989563	15.530038	9.15726	16.5078
TRINITY_DN762_c0_g2	3.681462	13.346114	4.689624	11.375420	10.303658	10.944331	7.23907	10.8745
TRINITY_DN3078_c0_g2	2.331363	3.956881	2.312991	3.899549	5.806056	4.421852	2.86708	4.70915
TRINITY_DN26550_c0_g1	0.000000	0.113715	0.000000	0.041761	0.000000	0.370119	0.037905	0.137293
TRINITY_DN26550_c0_g2	0.027231	0.068900	0.000000	0.151478	0.350078	0.284037	0.0320437	0.261864
TRINITY_DN11056_c0_g1	2.896812	3.372683	29.840725	9.197340	4.784939	2.641690	12.0367	5.54132
TRINITY_DN32616_c0_g1	0.094682	0.360629	0.241385	0.358862	0.164922	0.216573	0.232232	0.246786
TRINITY_DN521_c0_g1	3.441822	16.842447	5.011343	6.722053	17.715174	13.718038	8.43187	12.7184
TRINITY_DN521_c0_g2	2.201807	12.457412	14.883393	18.921343	16.865733	10.312981	9.84754	15.3667
TRINITY_DN521_c0_g3	3.973970	11.243593	2.927621	5.416943	12.002093	14.690404	6.04839	10.7031
TRINITY_DN22780_c0_g1	0.023155	1.512598	0.736923	1.448874	0.660998	0.109393	0.757559	0.739755
TRINITY_DN10198_c0_g1	0.291902	1.235196	0.490532	2.082730	2.657005	1.376676	0.672543	2.0388
TRINITY_DN59296_c0_g1	0.035501	0.109226	0.113182	0.119819	0.011156	0.084120	0.0859697	0.0716983
TRINITY_DN127_c0_g1	38.015095	140.255241	56.930226	11.391027	23.143563	6.935414	78.4002	13.8233
TRINITY_DN127_c0_g2	3.031418	8.867058	6.073829	14.092697	25.588040	5.208213	5.99077	14.963
TRINITY_DN127_c0_g4	119.785765	279.685713	113.872445	203.719562	236.197813	247.624614	171.115	229.181
TRINITY_DN127_c0_g5	2.025318	9.362722	1.932076	3.159568	3.008110	1.152988	4.44004	2.44022
TRINITY_DN136_c6_g1	28.173669	34.079875	34.443412	61.812810	54.908794	61.800347	32.2323	59.5073
TRINITY_DN1691_c0_g4	0.000000	2.930307	0.008751	0.000000	2.149410	3.370177	0.979686	1.83986
TRINITY_DN2768_c0_g1	5.757345	88.857052	4.368435	8.701524	6.475869	18.022306	32.9943	11.0666
TRINITY_DN2213_c0_g1	2.573743	15.695290	4.258730	6.423657	4.853120	2.836906	7.50925	4.70456
TRINITY_DN5241_c0_g1	0.982738	112.077438	166.618710	8.533322	15.511100	35.229978	93.2263	19.7581
TRINITY_DN8942_c0_g1	0.046492	2.147212	1.457036	0.412126	0.464805	0.632565	1.21691	0.503165
TRINITY_DN3972_c1_g1	0.482851	0.741754	0.676749	3.671628	0.216259	0.000000	0.633785	1.29596
TRINITY_DN241_c0_g2	1.453865	15.698304	24.090688	115.916747	82.534360	29.710874	13.7476	76.054
TRINITY_DN169_c0_g1	18.897518	112.043422	139.792990	66.316847	49.057778	58.338207	90.2446	57.9043
TRINITY_DN5504_c1_g2	0.252593	0.317780	0.340472	0.359933	0.392297	0.227289	0.303615	0.326506
TRINITY_DN1632_c1_g1	17.044481	33.527145	30.672427	36.244282	28.429051	48.118258	27.0814	37.5972
TRINITY_DN1632_c1_g2	17.274673	43.132331	20.478683	31.195266	19.898502	34.415005	26.9619	28.5029
TRINITY_DN30482_c0_g1	0.100180	0.213039	0.000000	0.066429	0.147420	0.057899	0.104406	0.0905827
TRINITY_DN6330_c0_g1	0.123458	0.295287	0.143530	0.499229	2.044797	0.284189	0.187425	0.942738
