qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN260_c1_g1_i12.p1	TRINITY_DN5949_c0_g1_i3.p1	58.564	181	354	178	7.68e-72	212	51.1299	101.685
TRINITY_DN260_c1_g1_i12.p1	TRINITY_DN659_c1_g1_i4.p1	71.579	95	354	154	9.59e-48	149	26.8362	61.6883
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN260_c1_g1_i12.p1	58.564	181	178	354	3.23e-66	197	101.685	51.1299
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN18563_c0_g1_i1.p1	77.982	109	178	228	8.19e-58	171	61.236	47.807
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN13428_c0_g1_i1.p1	45.810	179	178	344	6.45e-45	141	100.562	52.0349
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN13428_c0_g2_i1.p1	46.452	155	178	345	3.01e-43	137	87.0787	44.9275
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN1884_c0_g1_i17.p1	41.243	177	178	343	1.33e-40	130	99.4382	51.6035
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN1282_c1_g2_i1.p1	47.573	103	178	328	1.65e-28	98.2	57.8652	31.4024
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN18563_c0_g1_i1.p1	87.500	80	154	228	1.39e-49	149	51.9481	35.0877
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN260_c1_g1_i12.p1	71.579	95	154	354	3.52e-48	149	61.6883	26.8362
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN13428_c0_g2_i1.p1	62.500	96	154	345	3.19e-38	123	62.3377	27.8261
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN13428_c0_g1_i1.p1	59.341	91	154	344	1.27e-34	114	59.0909	26.4535
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN1282_c1_g2_i1.p1	45.055	91	154	328	2.13e-18	69.7	59.0909	27.7439
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN1884_c0_g1_i17.p1	40.000	95	154	343	1.50e-17	67.8	61.6883	27.6968
