Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Dan_sd	Mul_mean	Mul_sd	Dan_mean	Mul_mean	Delta_Mul_minus_Dan	Best_padj
UGT	TRINITY_DN41259_c0_g1	no	1	0.0	0.199383	0.015886	0.13243	0.163409	0.133702	0.07550074	0.0904784	0.11740686	0.0143133	0.07550074	0.11740686	0.041906120000000005	0.999999010765626
UGT	TRINITY_DN5199_c0_g1	yes	1	2.191733	3.018588	3.269663	1.561503	1.421593	3.765416	2.3534316	0.460514	2.0142884000000003	1.07343	2.3534316	2.0142884000000003	-0.33914319999999964	0.987899079503749
UGT	TRINITY_DN5252_c0_g3	no	1	1.29303	1.151784	0.048143	1.0726	0.834281	0.916146	0.7760984	0.556549	0.772581	0.098869	0.7760984	0.772581	-0.003517400000000004	0.999999010765626
UGT	TRINITY_DN566_c0_g2	no	2	1.746635	7.336517	3.519595	27.848549	36.628184000000005	46.396887	4.150674	3.9497099999999996	33.999472000000004	22.165840000000003	4.150674	33.999472000000004	29.848798000000002	0.314695996490341
UGT	TRINITY_DN60107_c0_g1	no	1	0.0	0.0	0.0	0.151394	0.288742	0.0	0.0	0.0	0.14095459999999999	0.117925	0.0	0.14095459999999999	0.14095459999999999	NA
UGT	TRINITY_DN654_c0_g1	yes	2	9.166821	31.721735000000002	3.038342	34.639143000000004	22.315785	17.459799999999998	14.180633600000002	12.33402	21.337083800000002	7.465821	14.180633600000002	21.337083800000002	7.1564502	0.999999010765626
UGT	TRINITY_DN6816_c0_g1	yes	6	24.3708	30.029187	29.835898	34.382098	52.662732999999996	41.431509	24.46900026	10.0305553	38.33739582	20.3852548	24.46900026	38.33739582	13.868395559999996	0.950615744526078
UGT	TRINITY_DN7259_c0_g1	no	1	36.369519	38.682338	13.504367	57.411431	69.061377	76.276684	25.887624799999998	11.3632	55.6210004	7.77231	25.887624799999998	55.6210004	29.733375600000002	0.885947504855861
UGT	TRINITY_DN729_c0_g1	no	5	62.322720000000004	78.210143	38.267896	101.659454	102.97134700000001	122.10296	51.18270268	17.5124594	89.1440119	10.0747405	51.18270268	89.1440119	37.96130922	0.895230473585131
UGT	TRINITY_DN7973_c0_g1	no	6	19.042175999999998	24.161050000000003	12.304905	30.573038	35.68721	34.873977000000004	15.90170778	5.4976642	27.455117440000002	2.4299288	15.90170778	27.455117440000002	11.553409660000002	0.825860200605613
UGT	TRINITY_DN8039_c0_g1	no	1	0.603016	1.293826	1.315611	1.745115	2.70007	0.845038	0.9228356	0.330905	1.5622114	0.757424	0.9228356	1.5622114	0.6393758	0.999999010765626
UGT	TRINITY_DN87_c1_g3	no	5	22.400955	19.800771	10.626021	28.126039000000002	18.990955	12.767046	16.00796768	9.6028864	17.31016236	6.7054225	16.00796768	17.31016236	1.3021946799999995	0.000826511518728698
UGT	TRINITY_DN9587_c0_g1	no	2	0.111424	0.19672800000000001	3.236121	0.15148	0.28358099999999997	0.614984	1.2358411999999999	1.453508	0.32158141999999995	0.2078471	1.2358411999999999	0.32158141999999995	-0.9142597799999999	0.999999010765626
