Family	GeneID	Recalc_Dan_mean	Archived_Dan_mean	Dan_mean_difference	Recalc_Mul_mean	Archived_Mul_mean	Mul_mean_difference	Max_absolute_difference	Interpretation
CarE	TRINITY_DN10214_c0_g1	0.362007	0.31309780000000004	0.048909199999999986	0.35179466666666664	0.3109846	0.040810066666666645	0.048909199999999986	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN1194_c0_g1	8.396413666666668	7.8121042	0.5843094666666673	14.230179666666666	12.788510800000001	1.4416688666666655	1.4416688666666655	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN13111_c1_g1	0.5417266666666667	0.49520282600000004	0.04652384066666665	0.540598	0.52624174	0.01435626000000001	0.04652384066666665	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN1740_c0_g3	3.5236636666666667	3.1025902	0.4210734666666669	8.81423	7.3468132	1.4674168000000005	1.4674168000000005	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN22_c1_g1	81.12689466666666	71.7812945	9.345600166666657	60.247954666666665	50.2445552	10.003399466666664	10.003399466666664	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN22_c2_g1	7.121208666666667	5.9108992	1.2103094666666667	6.988824666666667	5.696260799999999	1.2925638666666677	1.2925638666666677	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN2312_c0_g1	147.021852	139.7093436	7.3125083999999845	34.664927	29.618521699999995	5.0464053000000035	7.3125083999999845	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN235_c0_g1	20.305964000000003	17.812277180000002	2.4936868200000006	26.21691866666667	22.7935448	3.423373866666669	3.423373866666669	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN25123_c0_g1	0.22746433333333332	0.19520911999999999	0.03225521333333334	0.13448633333333332	0.11167148	0.022814853333333315	0.03225521333333334	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN256_c0_g1	72.10918366666667	64.2307054	7.8784782666666615	73.27344466666668	62.576572	10.696872666666678	10.696872666666678	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN3016_c0_g1	17.16593333333333	15.573428519999998	1.592504813333333	53.61977533333333	53.2075852	0.41219013333333265	1.592504813333333	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN5029_c0_g1	1.279264	1.3473848	-0.06812079999999998	3.0775093333333334	2.9239058	0.15360353333333343	0.15360353333333343	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN5285_c0_g1	43.093882	35.8775612	7.216320799999998	61.76735633333333	51.6865738	10.080782533333334	10.080782533333334	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN552_c0_g1	81.58415166666667	68.74319684	12.840954826666675	66.34552500000001	54.679799100000004	11.665725900000005	12.840954826666675	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN58976_c0_g1	0.6117876666666666	0.5730416	0.03874606666666658	0.16932866666666668	0.15104716	0.01828150666666667	0.03874606666666658	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN604_c0_g1	885.068877	847.77526502	37.29361198000004	953.080599	857.0172473999999	96.06335160000015	96.06335160000015	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN665_c0_g1	32.39282	27.86417512	4.528644880000002	75.10445833333333	68.70610167999999	6.398356653333337	6.398356653333337	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN69_c0_g1	295.27989533333334	259.70235330599996	35.57754202733338	175.16152866666667	150.5581052	24.60342346666667	35.57754202733338	archived mean uses a different upstream/statistical basis; retain both
CarE	TRINITY_DN920_c0_g1	312.982361	282.9008706	30.081490400000007	568.5212563333333	530.4148098	38.10644653333338	38.10644653333338	archived mean uses a different upstream/statistical basis; retain both
